PDBs	SD
Different	0.56744265795497
Different	0.262747390047932
Same	0.802862474388053
Different	0.888884437377716
Same	0.0250549145777812
Same	0.238492975158599
Different	0.325886309320188
Different	0.159502076632253
Same	0.892806456954978
Same	0.545885727969234
Different	0.584172731743363
Same	0.00155351359826355
Different	0.799463412090884
Same	0.243785502027226
Same	0.282260056486924
Same	0.696408255587196
Different	0.539655410120198
Different	0.776048823508117
Different	0.835087244348158
Different	0.110247139575137
Same	0.663883464972958
Different	0.491832830707072
Different	0.270932698006967
Different	0.154586977396225
Same	0.311733681340338
Same	0.364284443104558
Same	0.539518938511427
Different	0.927919258388356
Different	0.990152172842874
Different	0.805748490031266
Different	0.544375821199565
Different	0.764432635044123
Different	0.844015381946325
Different	0.794432334797935
Same	0.161716027964145
Same	0.504802823982294
Different	0.471498907656564
Different	0.711854935546796
Different	0.370081304496726
Same	0.130306344743837
Same	0.281219902411792
Different	0.511469528770044
Different	0.660840077386733
Different	0.00163817947734601
Same	0.0654852368572491
Same	0.455248073649963
Different	0.167967559016618
Different	0.745394448426414
Same	0.29030622455004
Different	0.800655312209444
Different	0.616576368745835
Same	0.200828932458695
Different	0.315947330649427
Different	0.689519621324879
Same	0.235702835013353
Different	0.913739668754911
Same	0.403284917620907
Different	0.798028692431862
Same	0.358826285860583
Different	0.512223909650846
Different	0.31617178938751
Different	0.33614815197308
Different	0.558473181944217
Different	0.216758634025266
Same	0.264509554958792
Same	0.263028166252209
Different	0.121703232694536
Same	0.719916935905108
Different	0.786082466595796
Different	0.140000071607123
Same	0.729321954931084
Different	0.457196486479245
Different	0.980892740734003
Different	0.345054674190196
Different	0.497602844833107
Different	0.385821534239602
Same	0.165177315658052
Same	0.618455389815629
Different	0.88143637373754
Different	0.955794551937286
Different	0.918754173937188
Different	0.50425430038457
Different	0.778909638520605
Same	0.262544505213877
Different	0.834627395423202
Different	0.708653223717002
Different	0.945536823841624
Different	0.767520297049329
Different	0.0950104026541272
Different	0.685219655203131
Same	0.000297691954881581
Same	0.660066502568113
Different	0.617997708871426
Same	0.252841585962439
Same	0.0091782460198006
Same	0.167870685387594
Different	0.332669698917712
Different	0.517298929545287
Different	0.659540461160634
Different	0.402173375081777
Same	0.96494124813094
Different	0.626416094626693
Different	0.821988342225397
Same	0.873417589014838
Different	0.749006642139665
Different	0.992078525784294
Same	0.32801622919072
Same	0.227991025244418
Different	0.54507703467109
Different	0.38490784221984
Same	0.352165339981802
Different	0.536124252607859
Different	0.858780478644283
Same	0.0327574287452484
Same	0.41023153463928
Same	0.665098981529819
Different	0.497942444357043
Same	0.341255389454877
Different	0.422832949997593
Same	0.0956531627182308
Same	0.0348264231870018
Same	0.63185718463946
Different	0.599459968732276
Same	0.64022650050158
Same	0.251440100322124
