PDBs	SD
Same	0.750825111206111
Same	0.000438406204334135
Same	0.127812379126593
Same	0.364569407137381
Different	0.0995053164827551
Same	0.879111036616536
Same	0.507079707817718
Different	0.802119223829601
Same	0.514162089338078
Same	0.927760866469373
Different	0.970417888467298
Different	0.762069484181395
Same	0.0211340074761033
Same	0.53068060103638
Same	0.61628527910417
Same	0.6340500950479
Same	0.46591611079525
Different	0.215979893351983
Same	0.625495344929119
Same	0.682963598282515
Different	0.663942838008162
Same	0.990573868948954
Same	0.925793695404115
Different	0.100606445720442
Different	0.0136365542751851
Same	0.925109216039921
Same	0.291784077722726
Different	0.394601651922966
Different	0.345513700183267
Different	0.405682330457056
Same	0.393415828275883
Same	0.201374111786995
Different	0.999873737335119
Same	0.43196531283457
Different	0.00448283217769088
Different	0.723834172426254
Same	0.346897762295561
Same	0.750812344224905
Same	0.704070715006668
Different	0.815947549265202
Same	0.132731721003308
Same	0.911155326996448
Different	0.470446431669255
Different	0.627292103260114
Different	0.791807250049109
Same	0.290696589646318
Different	0.524676039123427
Same	0.0813611204568878
Same	0.855924474355067
Different	0.08881190461025
Same	0.101862974470609
Different	0.847567886415005
Different	0.266251127254576
Different	0.190778852039041
Different	0.00304089159622724
Same	0.724116234807988
Different	0.838061235444558
Same	0.311091628383024
Different	0.427578444758678
Same	0.620974811276996
Same	0.639698998842815
Same	0.571147824833903
Different	0.225727643347022
Same	0.977372185344202
Same	0.436876897998357
Same	0.102405325371776
Same	0.416703683007484
Same	0.464682999431334
Different	0.78093317940961
Same	0.137380948089608
Same	0.175314398473142
Same	0.593856559111712
Different	0.651129379960697
Different	0.000837678538184297
Same	0.204418913586779
Different	0.765051353477657
Same	0.0557790059789523
Same	0.0273063425690824
Different	0.749781548143414
Different	0.1881338224279
Different	0.349505583249157
Same	0.00251588592746044
Same	0.0826317913426774
Same	0.13752873340688
Same	0.238629446767365
Same	0.197077755444393
Different	0.460709558443976
Same	0.212269920178297
Different	0.614717726736929
Different	0.00426117280413206
Different	0.00265160976264292
Different	0.00291153749270596
Different	0.00358261681596061
Same	0.00320524636338497
Same	0.00241878859142339
Same	0.00140198011754809
Same	0.00157282304577803
Same	0.236852487426248
Different	0.642552312932313
Different	0.132834251486578
Same	0.197571291517768
Same	0.523333971396854
Same	0.127390236378226
Different	0.410490335721194
Different	0.353579553544182
Different	0.485910345002555
Same	0.375771392764937
Different	0.45397521424523
Same	0.504816966117917
Different	0.697579071271495
Same	0.147361053199275
Same	0.526273380147112
Same	0.230825109223413
Different	0.681917068478786
Same	0.522566011348727
Different	0.39940665179263
Different	0.100276226853628
Different	0.702036427674756
Same	0.170795279034578
Same	0.887259195936704
Same	0.211208552899733
Same	0.516396546766628
Same	0.503894037663531
Different	0.907691754977427
Same	0.549676890440556
Same	0.572238183490493
Same	0.729175583827381
Different	0.7971158884836
Same	0.278778262696355
Same	0.521313767323
Different	0.986238179752531
Same	0.100624123389972
Same	0.129689747630642
Different	0.249518256914532
Same	0.99377847688129
Same	0.20308088504091
Different	0.675157575492195
Same	0.450286305366374
Different	0.62348311443829
Same	0.128455139190692
Different	0.376667136785582
Different	0.820647451104511
Different	0.40788888987321
Same	0.0234886730574533
Different	0.820455998210751
Different	0.839087199389509
Same	0.492089751163343
Different	0.834901285203827
Same	0.0613408061611551
Same	0.346696105079499
Same	0.97051324956669
Different	0.205815308618146
Same	0.507837874689357
Same	0.559410861609708
Same	0.397353705940312
Same	0.202570775470986
Same	0.429393421302659
Different	0.724275221862057
Different	0.832288462054035
Different	0.44528211067592
Same	0.232649444718875
Different	0.295318620999422
Different	0.354473568110985
Same	0.432973502935801
Same	0.0901241204204156
Same	0.0969012061870243
Different	0.216028950834603
Same	0.470993921411943
Same	0.898519879746965
Same	0.171669263016124
Same	0.0134555349392011
Different	0.40288634462036
Same	0.243079269741376
Same	0.82457913785185
Same	0.344312919176725
Different	0.713772925269362
Different	0.193008331458776
Different	0.35323377832818
Same	0.24577127991878
Same	0.308489475428255
Same	0.266562285944579
Same	0.905787267283312
Different	0.758204338723848
Different	0.0443044824820222
Same	0.420004457462064
Same	0.595136031029323
Different	0.620634855621072
Same	0.818467613942055
Same	0.254144783760162
Different	0.814346595621299
Same	0.264025893920466
Different	0.329901375869367
Different	0.339018554518162
Different	0.306915323990728
Same	0.915240126694902
Same	0.245250794666399
Same	0.906791542619543
Same	0.256893307818638
Different	0.557998337539938
Same	0.955917151389441
Same	0.308894647613872
Same	0.721779246896168
Same	0.128554841246839
Same	0.348680010657336
Same	0.0561322576109317
Same	0.239238070884074
Different	0.585999907647276
Different	0.868605616769966
Same	0.179243790856198
Same	0.396246376720971
Different	0.120888389525217
Different	0.552338784454344
Same	0.723324066596248
Same	0.397157090032291
Same	0.631208060614326
Same	0.700168485983432
Same	0.0560247773801914
Same	0.00755530081024822
Same	0.423377532565892
Same	0.176117219085283
Different	0.638231582115535
Same	0.772963171252354
Same	0.728962037579459
Same	0.0725661263124874
Same	0.3979496973555
Same	0.39549663677152
Same	0.152907598790906
Different	0.981229452835573
Different	0.812252779377025
Different	0.940317210321246
Same	0.930653640311204
Different	0.310453818066391
Same	0.00574948523783198
Same	0.15597007826022
Different	0.195773118973214
Same	0.643291101291243
Same	0.236938754453551
Different	0.433741064730904
Same	0.146439693063389
Different	0.656404497420861
Same	0.0554576777416847
Different	0.275803464467907
Different	0.576331864259934
Same	0.691440830449361
Same	0.333750622815273
Same	0.540774053048035
Same	0.109995409561032
Same	0.259081803306407
Same	0.579630984887798
Same	0.680964982421025
Same	0.264848259106985
Same	0.440161950473343
Same	0.110313607612566
Different	0.899392536970136
Same	0.988127317950728
Different	0.52358980592904
Same	0.139477041353408
Same	0.162976799354998
Different	0.153546323502065
Same	0.0554795980518963
Same	0.269325659245458
Same	0.0436044467686514
Same	0.664500769192933
Same	0.183231165995306
Same	0.0353383684965795
Different	0.182333847489984
Same	0.000674579869252052
Same	0.267819998951254
Same	0.344848906116868
Same	0.904611604666886
Same	0.000257386868355222
Same	0.400939444427709
Same	0.622077897855651
Different	0.81305081106759
Same	0.383841602458618
Same	0.60163042836418
Same	0.248705718399276
Same	0.162190496614319
Same	0.550081699608793
Same	0.436404385038123
Same	0.00878085200877725
Same	0.838621536834789
Different	0.777547826101337
Same	0.422140627048022
Different	0.3083943165208
Different	0.545213362083981
Same	0.880399561372277
Same	0.00190421066323934
Same	0.836812085166376
Same	0.104505432511898
Same	0.628700371785256
Same	0.646648444288316
Same	0.190356681029324
Same	0.723680657030781
Same	0.081214749353185
Same	0.229231290538618
Same	0.273249394774259
Same	0.0442804408514622
Same	0.211903868729039
