SET	SD
Mixed	5.700474316835
Free	0.56744265795497
Mixed	1.53725954218698
Free	0.262747390047932
Mixed	1.82712856724698
Free	0.802862474388053
Free	2.47042603249925
Free	1.92204987444668
Free	0.888884437377716
Complex	1.05599114570365
Free	0.0250549145777812
Free	4.1802300283982
Complex	0.238492975158599
Mixed	0.325886309320188
Free	1.77570302033814
Free	0.159502076632253
Free	0.892806456954978
Mixed	2.10780362311322
Free	0.545885727969234
Free	1.30729109929656
Mixed	0.584172731743363
Free	0.00155351359826355
Mixed	0.799463412090884
Free	0.243785502027226
Free	1.39267715616375
Complex	0.282260056486924
Free	0.696408255587196
Mixed	2.02080370583319
Complex	0.539655410120198
Mixed	0.776048823508117
Complex	0.835087244348158
Free	0.110247139575137
Free	0.663883464972958
Mixed	6.31136289276037
Free	0.491832830707072
Free	1.63544135347078
Mixed	0.270932698006967
Free	0.154586977396225
Mixed	3.29073495249952
Free	0.311733681340338
Complex	0.364284443104558
Free	0.539518938511427
Free	0.927919258388356
Free	0.990152172842874
Free	1.17651759281832
Free	1.42230123155481
Free	0.805748490031266
Mixed	0.544375821199565
Complex	0.764432635044123
Mixed	3.81586073247989
Complex	0.844015381946325
Free	1.3599402884899
Complex	0.794432334797935
Free	0.161716027964145
Free	0.504802823982294
Free	1.81990587719283
Complex	0.471498907656564
Mixed	0.711854935546796
Free	0.370081304496726
Complex	0.130306344743837
Complex	1.18542936028386
Complex	0.281219902411792
Free	1.25899725994162
Free	0.511469528770044
Free	4.52830192722372
Mixed	0.660840077386733
Mixed	0.00163817947734601
Complex	0.0654852368572491
Mixed	2.16128318650696
Free	1.43950960036327
Free	0.455248073649963
Complex	0.167967559016618
Free	1.56377654608899
Free	1.9762658726806
Complex	1.77166876818496
Mixed	0.745394448426414
Free	0.29030622455004
Free	1.48468665261327
Mixed	0.800655312209444
Complex	2.16634260235241
Mixed	0.616576368745835
Free	0.200828932458695
Complex	0.315947330649427
Mixed	1.42359974968591
Free	0.689519621324879
Complex	0.235702835013353
Mixed	1.37862196216331
Free	0.913739668754911
Free	1.84491088858026
Free	0.403284917620907
Free	0.798028692431862
Free	0.358826285860583
Free	0.512223909650846
Free	0.31617178938751
Free	1.33994967267898
Mixed	0.33614815197308
Complex	0.558473181944217
Mixed	0.216758634025266
Mixed	1.12510234828325
Free	1.03993416491646
Complex	0.264509554958792
Free	0.263028166252209
Free	0.121703232694536
Free	0.719916935905108
Mixed	0.786082466595796
Free	0.140000071607123
Complex	0.729321954931084
Free	0.457196486479245
Mixed	0.980892740734003
Free	0.345054674190196
Mixed	0.497602844833107
Free	0.385821534239602
Free	0.165177315658052
Mixed	1.67602707917562
Complex	0.618455389815629
Mixed	0.88143637373754
Free	0.955794551937286
Mixed	0.918754173937188
Mixed	2.16153712417676
Free	0.50425430038457
Complex	0.778909638520605
Free	2.14302375043603
Complex	0.262544505213877
Free	0.834627395423202
Complex	0.708653223717002
Complex	0.945536823841624
Free	0.767520297049329
Free	0.0950104026541272
Free	0.685219655203131
Free	1.79198606732879
Mixed	1.12090555469421
Complex	0.000297691954881581
Mixed	1.09603397008021
Free	34.6803038980325
Complex	0.660066502568113
Free	6.15257711529746
Mixed	10.5948039020082
Complex	0.617997708871426
Complex	1.69558053726026
Complex	0.252841585962439
Mixed	0.0091782460198006
Complex	0.167870685387594
Free	0.332669698917712
Complex	1.00326634840112
Free	0.517298929545287
Free	0.659540461160634
Free	0.402173375081777
Mixed	1.10698416114791
Free	0.96494124813094
Mixed	1.33606781415179
Mixed	0.626416094626693
Mixed	0.821988342225397
Free	0.873417589014838
Free	1.9307782897855
Free	0.749006642139665
Free	0.992078525784294
Free	0.32801622919072
Free	0.227991025244418
Mixed	1.19234466764019
Complex	0.54507703467109
Complex	0.38490784221984
Mixed	1.04420001922197
Complex	0.352165339981802
Mixed	0.536124252607859
Complex	0.858780478644283
Free	1.12162055449269
Free	2.02446085667271
Free	1.07215136408089
Complex	0.0327574287452484
Free	0.41023153463928
Free	1.78977646951285
Mixed	1.25411895829831
Complex	0.665098981529819
Free	0.497942444357043
Free	2.8354288960935
Complex	0.341255389454877
Free	1.27837073037633
Free	2.28865440865827
Free	0.422832949997593
Free	0.0956531627182308
Complex	0.0348264231870018
Free	0.63185718463946
Mixed	0.599459968732276
Complex	0.64022650050158
Complex	0.251440100322124
Free	0.750825111206111
Free	0.000438406204334135
Free	1.33106866112822
Mixed	1.58965586032511
Free	0.127812379126593
Free	0.364569407137381
Free	0.0995053164827551
Free	0.879111036616536
Free	1.01253955335183
Complex	0.507079707817718
Complex	0.802119223829601
Complex	0.514162089338078
Complex	0.927760866469373
Free	1.18529088777003
Mixed	0.970417888467298
Complex	1.99651811800056
Free	0.762069484181395
Mixed	2.52211483109721
Mixed	2.432769122813
Free	1.51512689243657
Mixed	1.32138712495238
Complex	0.0211340074761033
Free	0.53068060103638
Free	0.61628527910417
Complex	0.6340500950479
Free	0.46591611079525
Free	0.215979893351983
Free	1.71340599784231
Complex	1.16218727052937
Complex	0.625495344929119
Mixed	2.86732153324536
Complex	0.682963598282515
Complex	0.663942838008162
Free	0.990573868948954
Complex	1.3899746490208
Complex	0.925793695404115
Mixed	2.50866798494161
Complex	0.100606445720442
Complex	0.0136365542751851
Complex	0.925109216039921
Free	1.90594192979229
Complex	0.291784077722726
Free	0.394601651922966
Mixed	0.345513700183267
Complex	4.00456136942768
Mixed	1.44848784645586
Complex	0.405682330457056
Free	2.08511576925611
Free	0.393415828275883
Complex	0.201374111786995
Complex	0.999873737335119
Complex	0.43196531283457
Mixed	0.00448283217769088
Complex	0.723834172426254
Complex	1.13389027135984
Free	59.2176569370778
Free	1.67236976290293
Free	0.346897762295561
Mixed	1.56911944492763
Free	0.750812344224905
Free	0.704070715006668
Complex	0.815947549265202
Mixed	1.03832669698318
Free	1.18125652620441
Complex	0.132731721003308
Complex	0.911155326996448
Mixed	0.470446431669255
Mixed	1.74365326744539
Mixed	0.627292103260114
Complex	0.791807250049109
Complex	0.290696589646318
Free	0.524676039123427
Free	0.0813611204568878
Complex	0.855924474355067
Free	0.08881190461025
Complex	0.101862974470609
Free	0.847567886415005
Free	0.266251127254576
Complex	0.190778852039041
Complex	1.97404202185376
Mixed	0.00304089159622724
Free	0.724116234807988
Complex	0.838061235444558
Complex	0.311091628383024
Mixed	0.427578444758678
Complex	1.66137213113514
Complex	0.620974811276996
Complex	0.639698998842815
Mixed	1.02957415367339
Complex	0.571147824833903
Free	2.66656968878751
Free	0.225727643347022
Free	0.977372185344202
Complex	0.436876897998357
Mixed	1.42440408712076
Complex	1.12227321405173
Free	1.92167652206621
Free	0.102405325371776
Free	2.71495133560816
Free	1.18053842136912
Complex	0.416703683007484
Complex	0.464682999431334
Mixed	1.37195922727888
Mixed	0.78093317940961
Complex	1.1744760792796
Free	0.137380948089608
Free	0.175314398473142
Free	0.593856559111712
Free	1.12117224879342
Mixed	1.88575994017858
Complex	1.27555699365023
Complex	0.651129379960697
Mixed	1.46025832849123
Free	0.000837678538184297
Complex	0.204418913586779
Complex	0.765051353477657
Complex	0.0557790059789523
Free	0.0273063425690824
Mixed	0.749781548143414
Mixed	1.24285613344747
Free	0.1881338224279
Complex	1.31928777431992
Free	0.349505583249157
Free	0.00251588592746044
Complex	1.03055479292903
Complex	0.0826317913426774
Free	0.13752873340688
Complex	1.06521111102354
Complex	0.238629446767365
Complex	0.197077755444393
Free	0.460709558443976
Free	0.212269920178297
Complex	0.614717726736929
Free	0.00426117280413206
Mixed	0.00265160976264292
Free	0.00291153749270596
Free	0.00358261681596061
Free	8.36006397827387
Complex	1.9642996309485
Free	0.00320524636338497
Complex	0.00241878859142339
Complex	0.00140198011754809
Complex	0.00157282304577803
Free	1.18809566299204
Complex	0.236852487426248
Free	2.51675169006455
Mixed	2.19216923212063
Mixed	0.642552312932313
Complex	1.91435725977415
Complex	0.132834251486578
Complex	0.197571291517768
Complex	0.523333971396854
Mixed	1.84498654900584
Free	1.85000450567586
Free	0.127390236378226
Free	0.410490335721194
Mixed	1.11636698905251
Complex	0.353579553544182
Complex	0.485910345002555
Free	0.375771392764937
Free	1.48327455660182
Mixed	0.45397521424523
Complex	0.504816966117917
Complex	0.697579071271495
Free	0.147361053199275
Free	0.526273380147112
Mixed	1.18369250906559
Mixed	1.24298358676385
Complex	0.230825109223413
Mixed	1.92618433772169
Complex	0.681917068478786
Complex	0.522566011348727
Free	1.55795564306626
Complex	0.39940665179263
Free	0.100276226853628
Complex	0.702036427674756
Mixed	1.51305665687839
Free	1.25789848600006
Complex	0.170795279034578
Mixed	1.05521634280476
Free	0.887259195936704
Free	0.211208552899733
Complex	0.516396546766628
Complex	0.503894037663531
Mixed	1.15722595366434
Complex	0.907691754977427
Free	0.549676890440556
Free	1.04238226488112
Free	1.00786383532247
Mixed	2.04786025959593
Mixed	1.63962761358626
Free	1.4582069178714
Complex	0.572238183490493
Complex	1.73141883598626
Mixed	4.20896046985482
Free	0.729175583827381
Complex	0.7971158884836
Complex	0.278778262696355
Mixed	1.85539398008288
Mixed	1.07857692239651
Free	0.521313767323
Mixed	2.09113475245035
Complex	5.39770527104176
Mixed	0.986238179752531
Mixed	2.1464085517154
Mixed	1.52579698699902
Complex	0.100624123389972
Complex	0.129689747630642
Complex	0.249518256914532
Complex	0.99377847688129
Free	0.20308088504091
Free	1.3823888259771
Mixed	0.675157575492195
Mixed	0.450286305366374
Complex	0.62348311443829
Complex	0.128455139190692
Free	1.5802570838381
Mixed	2.47589521912291
Complex	0.376667136785582
Free	0.820647451104511
Complex	1.24374623431336
Mixed	1.59220663192431
Mixed	0.40788888987321
Complex	0.0234886730574533
Complex	0.820455998210751
Complex	0.839087199389509
Complex	0.492089751163343
Complex	0.834901285203827
Complex	0.0613408061611551
Mixed	3.53165008330912
Free	1.01475240369692
Complex	0.346696105079499
Mixed	1.38442402718411
Complex	0.97051324956669
Complex	1.59704945567772
Complex	1.19687773592916
Complex	0.205815308618146
